"","x","x_2","lsoa11cd","lsoa11nm","local_authority_district_name_2019","total_stop_searches","political_control","index_of_multiple_deprivation_imd_decile","log_total_stop_searches","crime_score"
"1",1,1,"E01000006","Barking and Dagenham 016A","Barking and Dagenham",26,"Labour","5",1.41497334797082,-0.1
"2",2,2,"E01000007","Barking and Dagenham 015A","Barking and Dagenham",76,"Labour","3",1.88081359228079,0.8
"3",3,3,"E01000008","Barking and Dagenham 015B","Barking and Dagenham",197,"Labour","2",2.29446622616159,0.4
"4",4,4,"E01000009","Barking and Dagenham 016B","Barking and Dagenham",246,"Labour","3",2.39093510710338,0.9
"5",5,5,"E01000010","Barking and Dagenham 015C","Barking and Dagenham",1027,"Labour","3",3.01157044359728,1.2
"6",6,6,"E01000011","Barking and Dagenham 016C","Barking and Dagenham",4,"Labour","3",0.602059991327962,0.5
"7",7,7,"E01000012","Barking and Dagenham 015D","Barking and Dagenham",439,"Labour","2",2.64246452024212,0.5
"8",8,8,"E01000013","Barking and Dagenham 013A","Barking and Dagenham",51,"Labour","2",1.70757017609794,1.2
"9",9,9,"E01000014","Barking and Dagenham 013B","Barking and Dagenham",18,"Labour","2",1.25527250510331,0.8
"10",10,10,"E01000015","Barking and Dagenham 009A","Barking and Dagenham",29,"Labour","2",1.46239799789896,0.4
"11",11,11,"E01000016","Barking and Dagenham 009B","Barking and Dagenham",11,"Labour","3",1.04139268515823,0.5
"12",12,12,"E01000017","Barking and Dagenham 009C","Barking and Dagenham",3,"Labour","2",0.477121254719662,0.3
"13",13,13,"E01000018","Barking and Dagenham 009D","Barking and Dagenham",1,"Labour","2",0,0.5
"14",14,14,"E01000019","Barking and Dagenham 023A","Barking and Dagenham",8,"Labour","2",0.903089986991944,0.6
"15",15,15,"E01000020","Barking and Dagenham 023B","Barking and Dagenham",1,"Labour","2",0,0.7
"16",16,16,"E01000021","Barking and Dagenham 008A","Barking and Dagenham",134,"Labour","2",2.12710479836481,0.6
"17",17,17,"E01000023","Barking and Dagenham 008C","Barking and Dagenham",28,"Labour","2",1.44715803134222,1.3
"18",18,18,"E01000024","Barking and Dagenham 008D","Barking and Dagenham",3,"Labour","3",0.477121254719662,0.2
"19",19,19,"E01000027","Barking and Dagenham 001A","Barking and Dagenham",26,"Labour","2",1.41497334797082,1
"20",20,20,"E01000028","Barking and Dagenham 001B","Barking and Dagenham",12,"Labour","2",1.07918124604762,-0.1
"21",21,21,"E01000029","Barking and Dagenham 001C","Barking and Dagenham",16,"Labour","4",1.20411998265592,0.4
"22",22,22,"E01000030","Barking and Dagenham 001D","Barking and Dagenham",10,"Labour","2",1,0.5
"23",23,23,"E01000031","Barking and Dagenham 002A","Barking and Dagenham",15,"Labour","4",1.17609125905568,0.9
"24",24,24,"E01000032","Barking and Dagenham 002B","Barking and Dagenham",15,"Labour","3",1.17609125905568,0.9
"25",25,25,"E01000033","Barking and Dagenham 006A","Barking and Dagenham",2,"Labour","2",0.301029995663981,0.2
"26",26,26,"E01000034","Barking and Dagenham 003A","Barking and Dagenham",88,"Labour","2",1.94448267215017,0.3
"27",27,27,"E01000035","Barking and Dagenham 010A","Barking and Dagenham",39,"Labour","4",1.5910646070265,0.2
"28",28,28,"E01000036","Barking and Dagenham 010B","Barking and Dagenham",11,"Labour","5",1.04139268515823,0.4
"29",29,29,"E01000037","Barking and Dagenham 003B","Barking and Dagenham",5,"Labour","5",0.698970004336019,-0.1
"30",30,30,"E01000038","Barking and Dagenham 003C","Barking and Dagenham",25,"Labour","5",1.39794000867204,0.2
"31",31,31,"E01000039","Barking and Dagenham 003D","Barking and Dagenham",11,"Labour","4",1.04139268515823,0.1
"32",32,32,"E01000040","Barking and Dagenham 019A","Barking and Dagenham",51,"Labour","2",1.70757017609794,0.6
"33",33,33,"E01000041","Barking and Dagenham 017A","Barking and Dagenham",1,"Labour","3",0,0.4
"34",34,34,"E01000042","Barking and Dagenham 017B","Barking and Dagenham",25,"Labour","2",1.39794000867204,0.3
"35",35,35,"E01000043","Barking and Dagenham 019B","Barking and Dagenham",7,"Labour","3",0.845098040014257,0.6
"36",36,36,"E01000044","Barking and Dagenham 016D","Barking and Dagenham",8,"Labour","3",0.903089986991944,1.1
"37",37,37,"E01000045","Barking and Dagenham 017C","Barking and Dagenham",13,"Labour","2",1.11394335230684,1.2
"38",38,38,"E01000046","Barking and Dagenham 017D","Barking and Dagenham",4,"Labour","3",0.602059991327962,0
"39",39,39,"E01000048","Barking and Dagenham 021B","Barking and Dagenham",12,"Labour","1 (most deprived)",1.07918124604762,0.2
"40",40,40,"E01000049","Barking and Dagenham 021C","Barking and Dagenham",36,"Labour","2",1.55630250076729,0.4
"41",41,41,"E01000050","Barking and Dagenham 019C","Barking and Dagenham",43,"Labour","2",1.63346845557959,0.7
"42",42,42,"E01000051","Barking and Dagenham 021D","Barking and Dagenham",8,"Labour","2",0.903089986991944,0.9
"43",43,43,"E01000052","Barking and Dagenham 019D","Barking and Dagenham",51,"Labour","2",1.70757017609794,0.3
"44",44,44,"E01000053","Barking and Dagenham 020A","Barking and Dagenham",18,"Labour","2",1.25527250510331,1.2
"45",45,45,"E01000054","Barking and Dagenham 018A","Barking and Dagenham",11,"Labour","3",1.04139268515823,0.5
"46",46,46,"E01000055","Barking and Dagenham 018B","Barking and Dagenham",5,"Labour","3",0.698970004336019,0
"47",47,47,"E01000056","Barking and Dagenham 018C","Barking and Dagenham",21,"Labour","2",1.32221929473392,0.5
"48",48,48,"E01000057","Barking and Dagenham 012A","Barking and Dagenham",15,"Labour","3",1.17609125905568,0.6
"49",49,49,"E01000058","Barking and Dagenham 018D","Barking and Dagenham",9,"Labour","3",0.954242509439325,0.4
"50",50,50,"E01000059","Barking and Dagenham 013C","Barking and Dagenham",7,"Labour","3",0.845098040014257,0.4
"51",51,51,"E01000060","Barking and Dagenham 006B","Barking and Dagenham",25,"Labour","2",1.39794000867204,1.1
"52",52,52,"E01000061","Barking and Dagenham 006C","Barking and Dagenham",42,"Labour","1 (most deprived)",1.6232492903979,0.1
"53",53,53,"E01000062","Barking and Dagenham 006D","Barking and Dagenham",25,"Labour","3",1.39794000867204,0.6
"54",54,54,"E01000063","Barking and Dagenham 004A","Barking and Dagenham",1,"Labour","2",0,0.3
"55",55,55,"E01000064","Barking and Dagenham 006E","Barking and Dagenham",38,"Labour","2",1.57978359661681,0.2
"56",56,56,"E01000065","Barking and Dagenham 007A","Barking and Dagenham",37,"Labour","2",1.56820172406699,0.3
"57",57,57,"E01000066","Barking and Dagenham 011A","Barking and Dagenham",48,"Labour","4",1.68124123737559,-0.3
"58",58,58,"E01000067","Barking and Dagenham 011B","Barking and Dagenham",8,"Labour","5",0.903089986991944,0.4
"59",59,59,"E01000068","Barking and Dagenham 016E","Barking and Dagenham",48,"Labour","4",1.68124123737559,0.9
"60",60,60,"E01000069","Barking and Dagenham 011C","Barking and Dagenham",6,"Labour","6",0.778151250383644,0
"61",61,61,"E01000070","Barking and Dagenham 011D","Barking and Dagenham",177,"Labour","5",2.24797326636181,0.8
"62",62,62,"E01000071","Barking and Dagenham 011E","Barking and Dagenham",16,"Labour","5",1.20411998265592,-0.2
"63",63,63,"E01000072","Barking and Dagenham 017E","Barking and Dagenham",12,"Labour","2",1.07918124604762,1.2
"64",64,64,"E01000073","Barking and Dagenham 012B","Barking and Dagenham",51,"Labour","2",1.70757017609794,1.3
"65",65,65,"E01000075","Barking and Dagenham 012D","Barking and Dagenham",107,"Labour","2",2.02938377768521,1.1
"66",66,66,"E01000076","Barking and Dagenham 012E","Barking and Dagenham",6,"Labour","2",0.778151250383644,0.3
"67",67,67,"E01000077","Barking and Dagenham 008F","Barking and Dagenham",27,"Labour","2",1.43136376415899,0.5
"68",68,68,"E01000078","Barking and Dagenham 007B","Barking and Dagenham",2,"Labour","2",0.301029995663981,0.5
"69",69,69,"E01000079","Barking and Dagenham 009E","Barking and Dagenham",7,"Labour","2",0.845098040014257,0.3
"70",70,70,"E01000080","Barking and Dagenham 007C","Barking and Dagenham",4,"Labour","3",0.602059991327962,0.1
"71",71,71,"E01000081","Barking and Dagenham 007D","Barking and Dagenham",1,"Labour","3",0,0.2
"72",72,72,"E01000082","Barking and Dagenham 007E","Barking and Dagenham",28,"Labour","3",1.44715803134222,-0.2
"73",73,73,"E01000083","Barking and Dagenham 007F","Barking and Dagenham",64,"Labour","2",1.80617997398389,0.4
"74",74,74,"E01000084","Barking and Dagenham 013D","Barking and Dagenham",73,"Labour","2",1.86332286012046,1.3
"75",75,75,"E01000085","Barking and Dagenham 013E","Barking and Dagenham",23,"Labour","2",1.36172783601759,1
"76",76,76,"E01000086","Barking and Dagenham 013F","Barking and Dagenham",5,"Labour","2",0.698970004336019,0.9
"77",77,77,"E01000087","Barking and Dagenham 020B","Barking and Dagenham",84,"Labour","2",1.92427928606188,0.1
"78",78,78,"E01000088","Barking and Dagenham 020C","Barking and Dagenham",12,"Labour","3",1.07918124604762,0.6
"79",79,79,"E01000089","Barking and Dagenham 020D","Barking and Dagenham",2,"Labour","3",0.301029995663981,0.2
"80",80,80,"E01000090","Barking and Dagenham 020E","Barking and Dagenham",10,"Labour","3",1,0.7
"81",81,81,"E01000091","Barking and Dagenham 022A","Barking and Dagenham",25,"Labour","2",1.39794000867204,1
"82",82,82,"E01000092","Barking and Dagenham 019E","Barking and Dagenham",63,"Labour","2",1.79934054945358,0.7
"83",83,83,"E01000093","Barking and Dagenham 022B","Barking and Dagenham",18,"Labour","1 (most deprived)",1.25527250510331,1.1
"84",84,84,"E01000094","Barking and Dagenham 022C","Barking and Dagenham",19,"Labour","3",1.27875360095283,0.5
"85",85,85,"E01000095","Barking and Dagenham 018E","Barking and Dagenham",31,"Labour","3",1.49136169383427,0.9
"86",86,86,"E01000096","Barking and Dagenham 022D","Barking and Dagenham",58,"Labour","2",1.76342799356294,1.3
"87",87,87,"E01000097","Barking and Dagenham 023C","Barking and Dagenham",11,"Labour","2",1.04139268515823,0.5
"88",88,88,"E01000098","Barking and Dagenham 023D","Barking and Dagenham",7,"Labour","2",0.845098040014257,0.9
"89",89,89,"E01000099","Barking and Dagenham 023E","Barking and Dagenham",10,"Labour","3",1,0
"90",90,90,"E01000100","Barking and Dagenham 004B","Barking and Dagenham",15,"Labour","3",1.17609125905568,0.6
"91",91,91,"E01000101","Barking and Dagenham 004C","Barking and Dagenham",6,"Labour","2",0.778151250383644,0.8
"92",92,92,"E01000102","Barking and Dagenham 007G","Barking and Dagenham",14,"Labour","2",1.14612803567824,0.8
"93",93,93,"E01000103","Barking and Dagenham 014A","Barking and Dagenham",26,"Labour","3",1.41497334797082,0.6
"94",94,94,"E01000104","Barking and Dagenham 014B","Barking and Dagenham",31,"Labour","2",1.49136169383427,0.1
"95",95,95,"E01000105","Barking and Dagenham 014C","Barking and Dagenham",69,"Labour","1 (most deprived)",1.83884909073726,1
"96",96,96,"E01000106","Barking and Dagenham 014D","Barking and Dagenham",21,"Labour","2",1.32221929473392,0.8
"97",97,97,"E01000107","Barking and Dagenham 010C","Barking and Dagenham",2,"Labour","3",0.301029995663981,0
"98",98,98,"E01000108","Barking and Dagenham 010D","Barking and Dagenham",10,"Labour","3",1,0.2
"99",99,99,"E01000110","Barking and Dagenham 002C","Barking and Dagenham",3,"Labour","5",0.477121254719662,-0.3
"100",100,100,"E01000111","Barking and Dagenham 002D","Barking and Dagenham",13,"Labour","3",1.11394335230684,0.3
"101",101,101,"E01000112","Barking and Dagenham 002E","Barking and Dagenham",21,"Labour","4",1.32221929473392,0.6
"102",102,102,"E01000113","Barking and Dagenham 002F","Barking and Dagenham",65,"Labour","4",1.81291335664286,0.7
"103",103,103,"E01000114","Barking and Dagenham 004E","Barking and Dagenham",28,"Labour","4",1.44715803134222,0.4
"104",104,104,"E01000116","Barnet 009B","Barnet",12,"Conservative","9",1.07918124604762,-0.4
"105",105,105,"E01000117","Barnet 010A","Barnet",8,"Conservative","8",0.903089986991944,-0.2
"106",106,106,"E01000118","Barnet 010B","Barnet",6,"Conservative","8",0.778151250383644,-0.2
"107",107,107,"E01000120","Barnet 009D","Barnet",11,"Conservative","10 (least deprived)",1.04139268515823,-0.6
"108",108,108,"E01000121","Barnet 010C","Barnet",20,"Conservative","2",1.30102999566398,0.3
"109",109,109,"E01000122","Barnet 009E","Barnet",1,"Conservative","8",0,-0.6
"110",110,110,"E01000123","Barnet 010D","Barnet",12,"Conservative","8",1.07918124604762,-0.7
"111",111,111,"E01000124","Barnet 010E","Barnet",34,"Conservative","4",1.53147891704226,0.5
"112",112,112,"E01000125","Barnet 024A","Barnet",17,"Conservative","3",1.23044892137827,0.6
"113",113,113,"E01000126","Barnet 026A","Barnet",74,"Conservative","2",1.86923171973098,-0.2
"114",114,114,"E01000127","Barnet 024B","Barnet",1,"Conservative","3",0,0.4
"115",115,115,"E01000128","Barnet 024C","Barnet",24,"Conservative","3",1.38021124171161,1
"116",116,116,"E01000129","Barnet 024D","Barnet",73,"Conservative","3",1.86332286012046,1
"117",117,117,"E01000130","Barnet 021A","Barnet",11,"Conservative","3",1.04139268515823,0.8
"118",118,118,"E01000131","Barnet 024E","Barnet",4,"Conservative","5",0.602059991327962,1.1
"119",119,119,"E01000132","Barnet 021B","Barnet",3,"Conservative","4",0.477121254719662,0.3
"120",120,120,"E01000133","Barnet 021C","Barnet",5,"Conservative","3",0.698970004336019,0.1
"121",121,121,"E01000134","Barnet 024F","Barnet",7,"Conservative","4",0.845098040014257,-0.2
"122",122,122,"E01000135","Barnet 038A","Barnet",21,"Conservative","7",1.32221929473392,0.4
"123",123,123,"E01000136","Barnet 038B","Barnet",4,"Conservative","8",0.602059991327962,0.2
"124",124,124,"E01000137","Barnet 041A","Barnet",2,"Conservative","3",0.301029995663981,0.3
"125",125,125,"E01000138","Barnet 040A","Barnet",7,"Conservative","3",0.845098040014257,1.1
"126",126,126,"E01000139","Barnet 041B","Barnet",24,"Conservative","7",1.38021124171161,0.6
"127",127,127,"E01000141","Barnet 039A","Barnet",38,"Conservative","3",1.57978359661681,1.5
"128",128,128,"E01000142","Barnet 040B","Barnet",12,"Conservative","6",1.07918124604762,-0.4
"129",129,129,"E01000143","Barnet 041D","Barnet",6,"Conservative","3",0.778151250383644,0.8
"130",130,130,"E01000144","Barnet 038C","Barnet",12,"Conservative","5",1.07918124604762,0.7
"131",131,131,"E01000145","Barnet 037A","Barnet",3,"Conservative","6",0.477121254719662,0.2
"132",132,132,"E01000146","Barnet 038D","Barnet",20,"Conservative","5",1.30102999566398,0.6
"133",133,133,"E01000147","Barnet 030A","Barnet",3,"Conservative","7",0.477121254719662,0.3
"134",134,134,"E01000148","Barnet 030B","Barnet",10,"Conservative","3",1,0
"135",135,135,"E01000150","Barnet 036A","Barnet",6,"Conservative","6",0.778151250383644,0
"136",136,136,"E01000151","Barnet 026B","Barnet",45,"Conservative","2",1.65321251377534,0.1
"137",137,137,"E01000152","Barnet 026C","Barnet",23,"Conservative","3",1.36172783601759,0
"138",138,138,"E01000153","Barnet 026D","Barnet",25,"Conservative","2",1.39794000867204,0.9
"139",139,139,"E01000154","Barnet 026E","Barnet",21,"Conservative","3",1.32221929473392,0.8
"140",140,140,"E01000155","Barnet 030D","Barnet",42,"Conservative","5",1.6232492903979,-0.1
"141",141,141,"E01000156","Barnet 022A","Barnet",10,"Conservative","9",1,-0.2
"142",142,142,"E01000157","Barnet 022B","Barnet",10,"Conservative","7",1,-0.3
"143",143,143,"E01000158","Barnet 015A","Barnet",14,"Conservative","5",1.14612803567824,0.6
"144",144,144,"E01000159","Barnet 015B","Barnet",11,"Conservative","6",1.04139268515823,0.6
"145",145,145,"E01000160","Barnet 015C","Barnet",29,"Conservative","7",1.46239799789896,0.5
"146",146,146,"E01000161","Barnet 015D","Barnet",39,"Conservative","6",1.5910646070265,0.6
"147",147,147,"E01000162","Barnet 015E","Barnet",3,"Conservative","5",0.477121254719662,0.5
"148",148,148,"E01000163","Barnet 022C","Barnet",4,"Conservative","3",0.602059991327962,0.3
"149",149,149,"E01000164","Barnet 022D","Barnet",84,"Conservative","4",1.92427928606188,0.8
"150",150,150,"E01000165","Barnet 022E","Barnet",5,"Conservative","7",0.698970004336019,0.2
"151",151,151,"E01000166","Barnet 003A","Barnet",10,"Conservative","6",1,0.3
"152",152,152,"E01000167","Barnet 002A","Barnet",2,"Conservative","3",0.301029995663981,0.5
"153",153,153,"E01000168","Barnet 003B","Barnet",2,"Conservative","9",0.301029995663981,-0.1
"154",154,154,"E01000170","Barnet 006A","Barnet",9,"Conservative","5",0.954242509439325,0.5
"155",155,155,"E01000171","Barnet 006B","Barnet",34,"Conservative","4",1.53147891704226,0.3
"156",156,156,"E01000172","Barnet 003D","Barnet",11,"Conservative","9",1.04139268515823,-0.7
"157",157,157,"E01000173","Barnet 006C","Barnet",14,"Conservative","8",1.14612803567824,-0.1
"158",158,158,"E01000174","Barnet 006D","Barnet",17,"Conservative","6",1.23044892137827,-0.2
"159",159,159,"E01000175","Barnet 006E","Barnet",13,"Conservative","9",1.11394335230684,0.2
"160",160,160,"E01000176","Barnet 027A","Barnet",3,"Conservative","3",0.477121254719662,0.4
"161",161,161,"E01000177","Barnet 029A","Barnet",2,"Conservative","9",0.301029995663981,0
"162",162,162,"E01000178","Barnet 027B","Barnet",3,"Conservative","9",0.477121254719662,-0.2
"163",163,163,"E01000179","Barnet 029B","Barnet",1,"Conservative","9",0,-0.1
"164",164,164,"E01000181","Barnet 029D","Barnet",5,"Conservative","9",0.698970004336019,0.1
"165",165,165,"E01000182","Barnet 029E","Barnet",12,"Conservative","9",1.07918124604762,-0.2
"166",166,166,"E01000183","Barnet 033A","Barnet",2,"Conservative","8",0.301029995663981,-0.5
"167",167,167,"E01000184","Barnet 027C","Barnet",13,"Conservative","3",1.11394335230684,0.3
"168",168,168,"E01000185","Barnet 029F","Barnet",2,"Conservative","4",0.301029995663981,-0.4
"169",169,169,"E01000187","Barnet 014B","Barnet",2,"Conservative","7",0.301029995663981,-0.6
"170",170,170,"E01000188","Barnet 014C","Barnet",1,"Conservative","9",0,0.5
"171",171,171,"E01000189","Barnet 014D","Barnet",10,"Conservative","4",1,-0.4
"172",172,172,"E01000190","Barnet 014E","Barnet",6,"Conservative","8",0.778151250383644,-0.4
"173",173,173,"E01000191","Barnet 014F","Barnet",6,"Conservative","9",0.778151250383644,-0.5
"174",174,174,"E01000192","Barnet 018A","Barnet",12,"Conservative","6",1.07918124604762,0.5
"175",175,175,"E01000193","Barnet 018B","Barnet",16,"Conservative","6",1.20411998265592,0.5
"176",176,176,"E01000194","Barnet 018C","Barnet",14,"Conservative","5",1.14612803567824,0.9
"177",177,177,"E01000195","Barnet 013A","Barnet",4,"Conservative","3",0.602059991327962,0.1
"178",178,178,"E01000196","Barnet 028A","Barnet",23,"Conservative","7",1.36172783601759,-0.7
"179",179,179,"E01000197","Barnet 023A","Barnet",5,"Conservative","7",0.698970004336019,0
"180",180,180,"E01000198","Barnet 025A","Barnet",12,"Conservative","7",1.07918124604762,-0.6
"181",181,181,"E01000199","Barnet 025B","Barnet",5,"Conservative","9",0.698970004336019,-0.1
"182",182,182,"E01000200","Barnet 028B","Barnet",8,"Conservative","8",0.903089986991944,0
"183",183,183,"E01000201","Barnet 028C","Barnet",11,"Conservative","9",1.04139268515823,-0.1
"184",184,184,"E01000202","Barnet 028D","Barnet",3,"Conservative","9",0.477121254719662,-0.5
"185",185,185,"E01000203","Barnet 028E","Barnet",2,"Conservative","6",0.301029995663981,-0.6
"186",186,186,"E01000204","Barnet 025C","Barnet",15,"Conservative","8",1.17609125905568,0.3
"187",187,187,"E01000205","Barnet 035A","Barnet",5,"Conservative","9",0.698970004336019,0.2
"188",188,188,"E01000206","Barnet 033B","Barnet",10,"Conservative","8",1,0.1
"189",189,189,"E01000207","Barnet 033C","Barnet",5,"Conservative","9",0.698970004336019,-0.5
"190",190,190,"E01000208","Barnet 033D","Barnet",5,"Conservative","9",0.698970004336019,0.2
"191",191,191,"E01000209","Barnet 035B","Barnet",4,"Conservative","9",0.602059991327962,0
"192",192,192,"E01000211","Barnet 035C","Barnet",3,"Conservative","6",0.477121254719662,-0.4
"193",193,193,"E01000212","Barnet 035D","Barnet",9,"Conservative","8",0.954242509439325,-0.2
"194",194,194,"E01000214","Barnet 038E","Barnet",15,"Conservative","8",1.17609125905568,0.3
"195",195,195,"E01000215","Barnet 037B","Barnet",39,"Conservative","7",1.5910646070265,-0.5
"196",196,196,"E01000216","Barnet 035E","Barnet",11,"Conservative","8",1.04139268515823,-0.3
"197",197,197,"E01000217","Barnet 035F","Barnet",8,"Conservative","8",0.903089986991944,-0.3
"198",198,198,"E01000218","Barnet 037C","Barnet",2,"Conservative","6",0.301029995663981,0.1
"199",199,199,"E01000219","Barnet 037D","Barnet",5,"Conservative","5",0.698970004336019,0.4
"200",200,200,"E01000221","Barnet 039B","Barnet",147,"Conservative","1 (most deprived)",2.16731733474818,1.1
"201",201,201,"E01000222","Barnet 040C","Barnet",11,"Conservative","3",1.04139268515823,0.7
"202",202,202,"E01000223","Barnet 039C","Barnet",46,"Conservative","2",1.66275783168157,0.9
"203",203,203,"E01000224","Barnet 040D","Barnet",73,"Conservative","5",1.86332286012046,-0.1
"204",204,204,"E01000225","Barnet 037F","Barnet",10,"Conservative","8",1,0
"205",205,205,"E01000226","Barnet 018D","Barnet",11,"Conservative","3",1.04139268515823,-0.2
"206",206,206,"E01000227","Barnet 018E","Barnet",4,"Conservative","8",0.602059991327962,-0.6
"207",207,207,"E01000228","Barnet 007A","Barnet",7,"Conservative","7",0.845098040014257,0.6
"208",208,208,"E01000229","Barnet 013B","Barnet",6,"Conservative","4",0.778151250383644,0.1
"209",209,209,"E01000230","Barnet 013C","Barnet",4,"Conservative","9",0.602059991327962,-0.3
"210",210,210,"E01000231","Barnet 013D","Barnet",3,"Conservative","6",0.477121254719662,0.2
"211",211,211,"E01000232","Barnet 013E","Barnet",5,"Conservative","6",0.698970004336019,0
"212",212,212,"E01000233","Barnet 013F","Barnet",14,"Conservative","8",1.14612803567824,-0.2
"213",213,213,"E01000234","Barnet 021D","Barnet",3,"Conservative","8",0.477121254719662,-0.3
"214",214,214,"E01000235","Barnet 021E","Barnet",19,"Conservative","4",1.27875360095283,0.5
"215",215,215,"E01000236","Barnet 034A","Barnet",12,"Conservative","8",1.07918124604762,-0.5
"216",216,216,"E01000237","Barnet 032A","Barnet",54,"Conservative","8",1.73239375982297,0.3
"217",217,217,"E01000238","Barnet 034B","Barnet",6,"Conservative","6",0.778151250383644,-0.2
"218",218,218,"E01000239","Barnet 031A","Barnet",9,"Conservative","4",0.954242509439325,0
"219",219,219,"E01000240","Barnet 031B","Barnet",20,"Conservative","5",1.30102999566398,0.1
"220",220,220,"E01000242","Barnet 032B","Barnet",4,"Conservative","5",0.602059991327962,0.3
"221",221,221,"E01000243","Barnet 032C","Barnet",23,"Conservative","7",1.36172783601759,0.1
"222",222,222,"E01000244","Barnet 032D","Barnet",16,"Conservative","6",1.20411998265592,0.3
"223",223,223,"E01000245","Barnet 032E","Barnet",34,"Conservative","4",1.53147891704226,0.4
"224",224,224,"E01000246","Barnet 002B","Barnet",3,"Conservative","8",0.477121254719662,0.5
"225",225,225,"E01000247","Barnet 002C","Barnet",4,"Conservative","8",0.602059991327962,-0.6
"226",226,226,"E01000248","Barnet 001A","Barnet",11,"Conservative","9",1.04139268515823,0.5
"227",227,227,"E01000249","Barnet 001B","Barnet",17,"Conservative","10 (least deprived)",1.23044892137827,0.1
"228",228,228,"E01000250","Barnet 001C","Barnet",18,"Conservative","7",1.25527250510331,0.1
"229",229,229,"E01000251","Barnet 002D","Barnet",16,"Conservative","5",1.20411998265592,0.1
"230",230,230,"E01000252","Barnet 002E","Barnet",5,"Conservative","7",0.698970004336019,0.2
"231",231,231,"E01000253","Barnet 007B","Barnet",3,"Conservative","8",0.477121254719662,0.2
"232",232,232,"E01000254","Barnet 001D","Barnet",27,"Conservative","9",1.43136376415899,-0.1
"233",233,233,"E01000255","Barnet 017A","Barnet",10,"Conservative","5",1,0.2
"234",234,234,"E01000256","Barnet 016A","Barnet",9,"Conservative","8",0.954242509439325,0
"235",235,235,"E01000257","Barnet 017B","Barnet",13,"Conservative","4",1.11394335230684,0.3
"236",236,236,"E01000258","Barnet 016B","Barnet",9,"Conservative","8",0.954242509439325,0.4
"237",237,237,"E01000259","Barnet 025D","Barnet",6,"Conservative","7",0.778151250383644,0.3
"238",238,238,"E01000260","Barnet 025E","Barnet",7,"Conservative","5",0.845098040014257,0.2
"239",239,239,"E01000261","Barnet 017C","Barnet",1,"Conservative","9",0,-0.9
"240",240,240,"E01000262","Barnet 017D","Barnet",13,"Conservative","7",1.11394335230684,-0.4
"241",241,241,"E01000263","Barnet 016C","Barnet",5,"Conservative","10 (least deprived)",0.698970004336019,-0.3
"242",242,242,"E01000264","Barnet 016D","Barnet",16,"Conservative","6",1.20411998265592,0.2
"243",243,243,"E01000265","Barnet 011A","Barnet",8,"Conservative","6",0.903089986991944,-0.4
"244",244,244,"E01000266","Barnet 011B","Barnet",5,"Conservative","9",0.698970004336019,0.6
"245",245,245,"E01000267","Barnet 005A","Barnet",1,"Conservative","7",0,-0.6
"246",246,246,"E01000268","Barnet 005B","Barnet",13,"Conservative","6",1.11394335230684,-0.1
"247",247,247,"E01000269","Barnet 005C","Barnet",2,"Conservative","8",0.301029995663981,0.2
"248",248,248,"E01000270","Barnet 005D","Barnet",3,"Conservative","7",0.477121254719662,0.1
"249",249,249,"E01000271","Barnet 008A","Barnet",7,"Conservative","9",0.845098040014257,-0.5
"250",250,250,"E01000273","Barnet 008C","Barnet",6,"Conservative","7",0.778151250383644,-0.1
"251",251,251,"E01000274","Barnet 011C","Barnet",1,"Conservative","6",0,-0.1
"252",252,252,"E01000275","Barnet 012A","Barnet",7,"Conservative","7",0.845098040014257,-0.8
"253",253,253,"E01000277","Barnet 012B","Barnet",19,"Conservative","5",1.27875360095283,-1
"254",254,254,"E01000278","Barnet 020B","Barnet",2,"Conservative","10 (least deprived)",0.301029995663981,-1.2
"255",255,255,"E01000279","Barnet 007C","Barnet",16,"Conservative","8",1.20411998265592,0.5
"256",256,256,"E01000280","Barnet 007D","Barnet",1,"Conservative","10 (least deprived)",0,-0.6
"257",257,257,"E01000281","Barnet 008D","Barnet",30,"Conservative","8",1.47712125471966,-0.2
"258",258,258,"E01000282","Barnet 008E","Barnet",5,"Conservative","9",0.698970004336019,0.2
"259",259,259,"E01000283","Barnet 012C","Barnet",4,"Conservative","10 (least deprived)",0.602059991327962,-0.9
"260",260,260,"E01000284","Barnet 012D","Barnet",7,"Conservative","6",0.845098040014257,-0.1
"261",261,261,"E01000285","Barnet 004A","Barnet",6,"Conservative","6",0.778151250383644,0.2
"262",262,262,"E01000286","Barnet 007E","Barnet",6,"Conservative","4",0.778151250383644,0.6
"263",263,263,"E01000287","Barnet 004B","Barnet",1,"Conservative","4",0,0.3
"264",264,264,"E01000288","Barnet 004C","Barnet",5,"Conservative","7",0.698970004336019,0.1
"265",265,265,"E01000289","Barnet 004D","Barnet",16,"Conservative","2",1.20411998265592,0.7
"266",266,266,"E01000290","Barnet 007F","Barnet",17,"Conservative","5",1.23044892137827,0.5
"267",267,267,"E01000291","Barnet 004E","Barnet",5,"Conservative","3",0.698970004336019,0.7
"268",268,268,"E01000292","Barnet 001E","Barnet",6,"Conservative","7",0.778151250383644,0.2
"269",269,269,"E01000293","Barnet 001F","Barnet",5,"Conservative","9",0.698970004336019,0.1
"270",270,270,"E01000294","Barnet 004F","Barnet",3,"Conservative","7",0.477121254719662,-1
"271",271,271,"E01000295","Barnet 023B","Barnet",19,"Conservative","7",1.27875360095283,0.5
